geoid,tract_2020,tract_name,total_pop_2010,black_pop_2010,pct_black_2010_percent,total_pop_2020,black_pop_2020,pct_black_2020_percent,black_pop_change,pct_black_change_pp,total_pop_2010_redistrict,black_pop_2010_redistrict,pct_black_2010_percent_redistrict,total_pop_2020_redistrict,black_pop_2020_redistrict,pct_black_2020_percent_redistrict,black_pop_change_redistrict,pct_black_change_pp_redistrict,tract_2010,n_geoid_2010_parents,tract_2010_norm,tract_2020_norm,civilian_labor_force_2010,employed_2010,in_labor_force_2010,population_16_years_and_over_2010,unemployed_2010,civilian_labor_force_2020,employed_2020,in_labor_force_2020,population_16_years_and_over_2020,unemployed_2020,no_2010_baseline,emp_change,lf_change,black_pop_change_used,pct_black_change_pp_used,z_black_disp,z_pct_black_disp,z_emp,z_lf,gri_raw,gri_z,gri_pct,gri_tier,dc_ward,quadrant,missing_gri_data
11001000101,1.01,Census Tract 1.01; District of Columbia; District of Columbia,,,,1406,47,3.34,,,,,,1406,47,3.34,,,1.01,0,1.01,1.01,,,,,,663.667,593.0,602.0,1134.0,18.0,True,,,,,,,,,,,,,2,NW,True
11001000102,1.02,Census Tract 1.02; District of Columbia; District of Columbia,,,,3417,57,1.67,,,,,,3417,57,1.67,,,1.02,0,1.02,1.02,,,,,,1833.0,1587.5,1617.5,2989.0,60.0,True,,,,,,,,,,,,,2,NW,True
11001000201,2.01,Census Tract 2.01; District of Columbia; District of Columbia,3916.0,259.0,6.61,4108,348,8.47,89.0,1.86,3916.0,259.0,6.61,4108,348,8.47,89.0,1.86,2.01,1,2.01,2.01,827.0,743.5,743.5,4227.0,0.0,1300.667,1081.5,1210.5,3972.0,135.0,False,338.0,467.0,89.0,1.86,-0.542,-1.204,0.029,0.436,-1.281,-0.426,0.351,Low,2,NW,False
11001000202,2.02,Census Tract 2.02; District of Columbia; District of Columbia,5425.0,159.0,2.93,4672,193,4.13,34.0,1.2,5425.0,159.0,2.93,4672,193,4.13,34.0,1.2,2.02,1,2.02,2.02,2021.667,1767.5,1818.5,4236.0,51.0,2545.667,2247.5,2319.0,4478.0,111.0,False,480.0,500.5,34.0,1.2,-0.405,-1.137,0.456,0.538,-0.548,-0.182,0.461,Low,2,NW,False
11001000300,3.0,Census Tract 3; District of Columbia; District of Columbia,6233.0,139.0,2.23,6161,260,4.22,121.0,1.99,6233.0,139.0,2.23,6161,260,4.22,121.0,1.99,3.0,1,3.0,3.0,3284.333,2843.5,2964.5,5041.0,139.0,3440.333,3088.0,3149.0,5445.0,61.0,False,244.5,184.5,121.0,1.99,-0.622,-1.217,-0.252,-0.424,-2.514,-0.836,0.214,Very Low,3,NW,False
11001000400,4.0,Census Tract 4; District of Columbia; District of Columbia,1455.0,50.0,3.44,1643,84,5.11,34.0,1.67,1455.0,50.0,3.44,1643,84,5.11,34.0,1.67,4.0,1,4.0,4.0,664.667,575.5,575.5,1146.0,0.0,552.333,499.5,501.0,1237.0,3.0,False,-76.0,-74.5,34.0,1.67,-0.405,-1.184,-1.215,-1.212,-4.016,-1.336,0.052,Very Low,3,NW,False
11001000501,5.01,Census Tract 5.01; District of Columbia; District of Columbia,3376.0,124.0,3.67,3829,236,6.16,112.0,2.49,3376.0,124.0,3.67,3829,236,6.16,112.0,2.49,5.01,1,5.01,5.01,2172.333,1893.5,1990.5,3236.0,113.0,2126.333,1854.0,1919.5,3107.0,69.0,False,-39.5,-71.0,112.0,2.49,-0.6,-1.268,-1.105,-1.201,-4.174,-1.388,0.045,Very Low,3,NW,False
11001000502,5.02,Census Tract 5.02; District of Columbia; District of Columbia,3189.0,95.0,2.98,3418,118,3.45,23.0,0.47,3189.0,95.0,2.98,3418,118,3.45,23.0,0.47,5.02,1,5.02,5.02,1854.333,1681.0,1695.0,2816.0,21.0,2058.667,1790.0,1859.0,2948.0,107.0,False,109.0,164.0,23.0,0.47,-0.377,-1.063,-0.659,-0.486,-2.585,-0.86,0.201,Very Low,3,NW,False
11001000600,6.0,Census Tract 6; District of Columbia; District of Columbia,4539.0,225.0,4.96,4676,237,5.07,12.0,0.11,4539.0,225.0,4.96,4676,237,5.07,12.0,0.11,6.0,1,6.0,6.0,2205.667,1954.5,2029.0,4226.0,82.0,2447.667,2179.0,2222.0,4094.0,51.0,False,224.5,193.0,12.0,0.11,-0.35,-1.026,-0.312,-0.398,-2.086,-0.694,0.253,Low,3,NW,False
11001000702,7.02,Census Tract 7.02; District of Columbia; District of Columbia,3364.0,192.0,5.71,3452,280,8.11,88.0,2.4,3364.0,192.0,5.71,3452,280,8.11,88.0,2.4,7.02,1,7.02,7.02,2229.667,1897.0,2042.0,3054.0,145.0,1970.0,1725.0,1800.5,2853.0,94.0,False,-172.0,-241.5,88.0,2.4,-0.54,-1.258,-1.503,-1.72,-5.022,-1.67,0.019,Very Low,3,NW,False
11001000703,7.03,Census Tract 7.03; District of Columbia; District of Columbia,,,,3022,248,8.21,,,,,,3022,248,8.21,,,7.03,0,7.03,7.03,,,,,,1650.333,1440.0,1511.5,3162.0,76.0,True,,,,,,,,,,,,,3,NW,True
11001000704,7.04,Census Tract 7.04; District of Columbia; District of Columbia,,,,2753,249,9.04,,,,,,2753,249,9.04,,,7.04,0,7.04,7.04,,,,,,1470.0,1302.5,1319.0,2599.0,33.0,True,,,,,,,,,,,,,3,NW,True
11001000802,8.02,Census Tract 8.02; District of Columbia; District of Columbia,2869.0,107.0,3.73,3327,226,6.79,119.0,3.06,2869.0,107.0,3.73,3327,226,6.79,119.0,3.06,8.02,1,8.02,8.02,1236.0,1079.5,1106.0,2243.0,36.0,1794.0,1603.0,1625.0,2901.0,24.0,False,523.5,519.0,119.0,3.06,-0.617,-1.325,0.586,0.595,-0.762,-0.253,0.435,Low,3,NW,False
11001000803,8.03,Census Tract 8.03; District of Columbia; District of Columbia,,,,3174,168,5.29,,,,,,3174,168,5.29,,,8.03,0,8.03,8.03,,,,,,1214.0,1070.5,1132.0,2158.0,119.0,True,,,,,,,,,,,,,3,NW,True
11001000804,8.04,Census Tract 8.04; District of Columbia; District of Columbia,,,,3832,201,5.25,,,,,,3832,201,5.25,,,8.04,0,8.04,8.04,,,,,,1490.0,1199.5,1337.5,2989.0,175.0,True,,,,,,,,,,,,,3,NW,True
11001000902,9.02,Census Tract 9.02; District of Columbia; District of Columbia,2092.0,67.0,3.2,2317,76,3.28,9.0,0.08,2092.0,67.0,3.2,2317,76,3.28,9.0,0.08,9.02,1,9.02,9.02,934.667,797.5,840.5,1720.0,51.0,939.667,825.0,847.0,1793.0,35.0,False,27.5,6.5,9.0,0.08,-0.342,-1.023,-0.904,-0.965,-3.235,-1.076,0.156,Very Low,3,NW,False
11001000903,9.03,Census Tract 9.03; District of Columbia; District of Columbia,,,,4202,426,10.14,,,,,,4202,426,10.14,,,9.03,0,9.03,9.03,,,,,,1621.0,1321.5,1496.0,3894.0,201.0,True,,,,,,,,,,,,,3,NW,True
11001000904,9.04,Census Tract 9.04; District of Columbia; District of Columbia,,,,3148,131,4.16,,,,,,3148,131,4.16,,,9.04,0,9.04,9.04,,,,,,1277.0,1123.5,1160.5,2549.0,48.0,True,,,,,,,,,,,,,3,NW,True
