variable,count,mean,std,min,25%,50%,75%,max
gri_raw,166.0,-0.012,2.876,-5.55,-1.976,-0.179,1.521,10.228
gri_z,166.0,-0.004,0.956,-1.846,-0.657,-0.059,0.506,3.402
z_emp,166.0,0.022,0.946,-1.931,-0.582,-0.109,0.459,3.4
z_lf,166.0,0.047,0.921,-1.939,-0.461,0.112,0.506,3.358
emp_change,166.0,335.753,314.845,-314.5,134.5,292.0,481.0,1460.0
lf_change,166.0,339.069,302.432,-313.5,172.125,360.5,489.875,1427.0
z_black_disp,166.0,-0.065,1.222,-3.871,-0.799,-0.12,0.481,2.904
z_pct_black_disp,166.0,-0.017,0.915,-1.838,-0.674,-0.442,0.564,2.887
black_pop_change_used,166.0,-102.06,489.513,-1291.0,-320.5,-80.0,192.0,1422.0
pct_black_change_pp_used,166.0,-9.854,9.031,-38.5,-15.58,-5.65,-3.375,8.12
